query_number,query_type,query_boy,query_girl,age_group,,comments,image_count,answer,hint,query_nikud,semantics,category PLS,test goal,הוספת תמונות,שינוי כללי,רמזים,expected_full_ai,expected_full_parents,expected_partial,expected_wrong
1,הבנה,איפה האף של הילד?,איפה האף של הילד?,2:00-2:06,,הצבעה נכונה,1,A,"איפה האף שלי? הנה האף שלי , תצביע עכשיו על האף של הילד.",אֵיפֹה הָאַף שֶׁל הַיֶּלֶד?,סמנטיקה,אוצר מילים,זיהוי אברי גוף,,,,הצבעה דוייקת,,הצבעה על האף של הילד עצמו ,כל הצבעה במקום אחר
2,הבנה,איפה הכדור,איפה הכדור,2:00-2:06,,הצבעה נכונה,4,1,עם מה ניתן לשחק מסירות או לבעוט לשער,אֵיפֹה הַכַּדּוּר,סמנטיקה,אוצר מילים,זיהוי שמות עצם פשוטים,"כדור, להחליף ילד, מכונית, בובה",,,הצבעה דוייקת,,הצבעה שניה,
3,הבנה,איפה יש ילד שישן?,איפה יש ילד שישן?,2:00-2:06,",",הצבעה נכונה,4,2,"מחווה של ""לישון"" \עצימת עיניים",תַּרְאֶה לִי יֶלֶד שֶׁיָּשֵׁן,סמנטיקה,אוצר מילים,זיהוי פועל נפוץ,"ישן, אוכל, קופץ, יושב",,,הצבעה דוייקת,,,
4,הבנה,איפה הדובי הגדול?,איפה הדובי הגדול?,2:00-2:06,,הצבעה נכונה,4,1,מחוות ידיים של גדול וקטן,אֵיפֹה הַדֻּבִּי הַגָּדוֹל?,סמנטיקה,מושגים איכותיים,"זיהוי מושג גודל ""גדול""","דובי גדול, דובי קטן, חתול גדול, חתול קטן (בלי רקע)",,,הצבעה דוייקת,,,
5,הבנה,איפה הדובי על הקופסא?,איפה הדובי על הקופסא?,2:00-2:06,,הצבעה נכונה,4,2,ניתן להראות חפץ בסביבה הקרובה שנמצא מעל חפץ אחר.,אֵיפֹה הַדֻּבִּי עַל הַקֻּפְסָא?,סמנטיקה,מושגים מרחביים,"זיהוי מילת מרחב ""על""","דובי על, ליד, בתוך, מאחורי",,,הצבעה דוייקת,,,
6,הבנה,תצביע על כל החיות,תצביעי על כל החיות ,2:00-2:06,,הצבעה נכונה,6,"1,3,6","ניתן לתת רמזים על כל חיה, איפה היא גרה או הקול שהיא משמיעה",הַצְבֵּעַ עַל כֹּל הַחַיּוֹת,מיומניות שפה אינטגרטיביות,מיומניות שפה אינטגרטיביות,"זיהוי קטגוריה פשוטה ""חיות""",,להוריד רקעים לתמונות. יותר ברור,,3\3,,2\3,0\3
7,הבנה,איפה האוזניים של הילד?,איפה האוזניים של הילד?,2:07-3:00,,הצבעה נכונה,1,A,"איפה האוזן שלי? הנה אוזן שלי , תצביע על האוזן של הילד.",אֵיפֹה הָאֹזֶן שֶׁל הַיֶּלֶד?,סמנטיקה,אוצר מילים,זיהוי אברי גוף,,,,,,,
8,הבנה,איפה הדובי האדום?,איפה הדובי האדום?,2:07-3:00,,הצבעה נכונה,4,1,הצבעה על דובי כחול ואמור: זה דובי כחול' איפה האדום?,אֵיפֹה הַדֻּבִּי הָאָדֹם?,סמנטיקה,מושגים איכותיים,זיהוי צבעים,"דובי אדום , כחול, צהוב, ירוק",,,,,,
9,הבנה,איפה הדובי בתוך הקופסא?,איפה הדובי בתוך הקופסא?,2:07-3:00,,הצבעה נכונה,4,1,ניתן להצביע על חפץ בסביבה הקרובה שנמצא בתוך חפץ אחר,אֵיפֹה הַדֻּבִּי בְּתוֹךְ הַקֻּפְסָא?,סמנטיקה,מושגים מרחביים,"זיהוי מילת מרחב ""בתוך""","מעל, מתחת, בתוך, ליד",,,,,,
10,הבנה,איפה הילדה שמחזיקה בננה ביד?,איפה הילדה שמחזיקה בננה ביד?,2:07-3:00,,הצבעה נכונה,4,2,הקראה נוספת עם דגש על שם הפרי ועל מין הילדה,אֵיפֹה הַיַּלְדָּה שֶׁמַּחְזִיקָה בָּנָנָה בַּיָּד?,סמנטיקה,אוצר מילים,הבנת הוראה מורכבת,להוסיף אותו ילד מחזיק תפוח,,,,,,
11,הבנה,איפה הילד שיושב?,איפה הילד שיושב?,2:07-3:00,,הצבעה נכונה,4,2,הקראה נוספת,אֵיפֹה יֶלֶד יוֹשֵׁב?,מבנה שפה,מורפולוגיה,זיהוי פועל נפוץ,"יושבף קופץ, ישן, אוכל",,,,,,
12,הבנה,"תראה לי מי שונה, מי לא מתאים לקבוצה?","תראי לי מי שונה, מי לא מתאים לקבוצה?",2:07-3:00,,הצבעה נכונה,4,1,מי לא חיה?,מִי שׁוֹנֶה? מִי לֹא מַתְאִים לַקְּבוּצָה?,מיומניות שפה אינטגרטיביות,מיומניות שפה אינטגרטיביות,זיהוי יוצא דופן מקטגוריה פשוטה,"כלב, חתול, פרה, כדור",החתול והכלב דומים מידי. לשנות,,,,,
13,הבנה,איפה כל המשחקים והצעצועים?,איפה כל המשחקים והצעצועים?,2:07-3:00,,הצבעה נכונה,6,"1,2,4,5",ניתן לתת דוגמאות ספציפיות לכל צעצוע,אֵיפֹה כֹּל הַצַּעֲצוּעִים ?,מיומניות שפה אינטגרטיביות,מיומניות שפה אינטגרטיביות,"זיהוי קטגוריות ""צעצועים""",,החתול והכלב אמיתיים מידי. להחליף ,,,,,
14,הבנה,איפה הילד שקופץ?,איפה הילד שקופץ?,3:00-4:00,,הצבעה נכונה,6,1,מי לא יושב ?,איפה הילד שקופץ,מבנה שפה,מורפולוגיה,זיהוי פועל נפוץ,"ילד קופץ, ילדים קופצים, ילדה קופצת, ילד יושב, ילדה יושבת, ילדים יושבים",,,,,,
